,=SUM(B2:B730),"=ROUND(B1/((365-30-5-12-104)*7.7/12), 2)"
28.10.24,4,"record-api, order-api, consumables-api"
29.10.24,4,"audit-api, record-api, ui-composer"
30.10.24,3,"audit-api, record-api, document-api"
31.10.24,2,"record-api, order-api"
01.11.24,8,"order-api, csv-processor, templates, record-api, code maintenance"
03.11.24,2,calendar-api
09.11.24,2,audit-api
10.11.24,7,"documentation, record-api"
12.11.24,2,documentation
14.11.24,3,templates
15.11.24,7,"templates, audit-api, user-api, notification"
16.11.24,6,"order-api, templates, audit-api, notification, consumables-api"
19.11.24,2,documentation
20.11.24,2,"consumables-api, documentation"
23.11.24,2,documentation
24.11.24,1,language-handler
29.11.24,4,"api, record-api, documentation"
30.11.24,9,"document-api, tool-api, documentation"
01.12.24,1,record-api
06.12.24,6,"document-api, record-api"
07.12.24,6,"stress-test, templates, documentation"
11.12.24,1,"templates, record-api"
12.12.24,3,"pdf-library, order-api, record-api"
13.12.24,7,"file-api, document-api"
14.12.24,12,"code maintenance, development-setup"
17.12.24,2,"delevopment-setup, records-api"
18.12.24,2,"user-api, record-api"
20.12.24,6,"consumables-api, audit-api, order-api "
21.12.24,5,"order-api, development-setup"
22.12.24,9,"safari-compatibility, ui"
23.12.24,3,"ui-composer, document-api, record-api, pdf-library"
25.12.24,7,"file-api, record-api, order-api, documentation"
26.12.24,7,language-handler
27.12.24,12,"language-handler, audit-api, record-api, document-api, code maintenance, documentation"
28.12.24,5,"code maintenance, documentation"
29.12.24,5,"code maintenance, documentation"
30.12.24,8,"code maintenance, documentation"
31.12.24,1,application-api
03.01.25,7,"purchase-api, templates, stress-test, install routine"
04.01.25,4,"code maintenance, documentation"
05.01.25,3,"code maintenance, templates"
06.01.25,3,"templates, install routine"
08.01.25,2,database type maintenance
10.01.25,7,"stress-test, risk-api"
11.01.25,10,"risk-api, templates, ui"
12.01.25,1,ui
13.01.25,1,"install routine, ui-composer"
14.01.25,1,"risk-api, ui"
17.01.25,6,"install routine, ui-assembler, risk-api"
18.01.25,8,"ui, audit-api"
19.01.25,2,"risk-api, audit-api"
22.01.25,2,"documentation, config handling"
23.01.25,2,file-api
24.01.25,10,"file-api, install routine, api, ui-assembler, texttemplates-api, consumables-api"
25.01.25,11,"consumables-api, audit-api, documentation"
26.01.25,2,"documentation, language"
28.01.25,1,language-handler
29.01.25,2,document-api
31.01.25,10,"consumables-api, audit-api"
01.02.25,11,audit-api
04.02.25,2,measure-api
05.02.25,2,"install routine, stress test, templates, documentation"
06.02.25,1,ui-assembler
07.02.25,10,ui-assembler
08.02.25,8,"ui-assembler, documentation, ui-composer"
09.02.25,1,ui-composer
